GOOD LOOKING KICKS IF YOUR KICKIN IT OLD SCHOOL LIKE ME. AND COMFORTABLE. AND RELATIVELY CHEAP. I'LL ALWAYS KEEP A PAIR OF STAN SMITH'S AROUND FOR WEEKENDS	1
These sunglasses are all right. They were a little crooked, but still cool..	1
I don't see the difference between these bodysuits and the more expensive ones.  Fits my boy just right	1
I am sorry but I did not like it nor will I wear it as it is too big & looks funny on me. I wish I had not have gotten it.	0
A red star!?!?  I bet this won't sell well in eastern Europe.	0
I love these socks. They fit great (my 15 month old daughter has thick ankles) and she can zoom around on the kitchen floor and not take a nose dive into things. :	1
THe pants that I ordered for my size were very small. They weren't true to size at all. I would not recommend this item to anyone	0
Your company was a pleasure to work with- thanks!  I will enjoy wearing the swimsuit that I ordered	1
IT was advertised and NOT IN STOCK so I was unable to get it	0
Nice shirt. Well made. Good price. What more can I say	1
The shirts are what I had asked for.  They are sturdy and well made.  I would buy more if I needed more.  Well worth the money spen	1
"Nice looking picture but what are the dementions of the thing ?
It looks good but is it 4""X 8""  or  12"" X 8"" ?   Sure would be nice to know the size before I buy.............
da Trol"	0
It's golden color is very remarkable ..It looks like real gold..wonderful piece to have	1
A difficult item to find in department stores.  Found some at twice the price in a leather goods store.  The Fossil leather key cases were of equal quality.  I purchased two and am very satisfied	1
Very dissatisfied with the quality like several other reviewers.  Relegated to cleaning after just one use	0
THe pants that I ordered for my size were very small. They weren't true to size at all. I would not recommend this item to anyone	0
I found these at Lane Bryant and I absolutely love them! I wear them under my work clothes every day. You've got to try them	1
IT was advertised and NOT IN STOCK so I was unable to get it	0
"Nice looking picture but what are the dementions of the thing ?
It looks good but is it 4""X 8""  or  12"" X 8"" ?   Sure would be nice to know the size before I buy.............
da Trol"	0
Dont buy it from Andrew Christian, i wrote them online several times and never, not once, got an answer from them, i ended up buying them some other place	1
Clever and stylish design; a lot of colors to choose from; and an excellent performance, best sport shoe eve	1
Very dissatisfied with the quality like several other reviewers.  Relegated to cleaning after just one use	0
Awesome shoes. Not necessarily worth the outlandish cost but 4 stars nonetheless. I'd recommend them to anyone who takes running seriously, and who likes to look even cooler when doing it.	1
I wore this shirt just once. It's almost transparent. Not worth it even if you get it for free	0
I am sorry but I did not like it nor will I wear it as it is too big & looks funny on me. I wish I had not have gotten it.	0
A red star!?!?  I bet this won't sell well in eastern Europe.	0
