"I received my Kingston 256MB SD card just as advertised.
The unit came in the mail exactly 2 days after I
ordered. Worked perfectly and I'm very satisfied"	1
"I have bought and returned three of these units now. Each one has been defective, and finally I just gave up on returning the system. The DVD player constantly gives ""Bad Disc"" errors and skips if there is even the slightest smudge on a disc. The sound quality is very nice for the price, but since the player doesn't work, it's essentially useless. This is a complete rip-off at any price point"	0
"Works well, especially for anyone who still has their old console systems in use. I have my NES and SNES, both of which have huge AC adapters, plugged into this. It saves tons of space on my power strip.

The design is a little clumsy though, so it's only getting 4/5"	1
I used a 25 pack of these doing DVD backups, and the last 5 or so failed. I thought it was my software, so I got new software. Guess what? My first disc out of the new package of 25 that I bought failed, too.  It's not my burner (as another reviewer suggested, implying that people should learn to read), as it's brand new and doesn't require the firmware upgrade they mention. They just suck and have a high failure rate.  So the consensus seems to be that TDK or Sony are best. I'm buying some now and save myself the frustration	0
"Not as easy to use as a larger Panasonic I used to own but
otherwise fine. Good sound.  Using CD player and radio.
Buying via Amazon as usual is super"	1
I bought these discs at CompUSA because I needed a few before I got the ones I ordered online. Well, I just wated a good 25 bucks because out of 5 discs, I got one that burned good. Not much bang for the buck. I have burned many discs but never Memorex, usually Verbatim or Ridata or MAM. Very disgruntled with these discs making coasters. Maybe my burners don't like them but whatever the case, I won't buy them ever again. I thought Memorex made good products	0
It worked much better than expected. The page clips also were very good, but one fell off about 5 minutes into owning/using the item (I put it back on, but fell off a couple more times). I also get the feeling that the other parts are fragile as well.	1
The DVDs I burned successfully showed the movies in excellent quality. The only problem is that for every 3 good burns I get one bad one. I'm using the Plextor DVD burner (love it!!), but I'm going to try my luck with a different DVD brand. The failure rate for Memorex is unacceptable. It's less the cost that bothers me, but more the time wasted on burning coasters	0
"It's speedy and space saving and inexpensive. I bought this to replace my Belkin because the Belkin needed to be plugged in. This one is powered by your computer so there's no extra power cords, which is a big plus to me. 

The only thing I dislike about this is the fact that the Hub takes up two Usb ports instead of just one like the Belkin. "	1
"Please don't expect to get the cash back from this purchase as promised!  To date, I've been denied twice.  The second time they said the U P C number was invalid. Only, it's the original U P C barcode!  I was meticulous filing the paperwork, yet they state, ""All required products were not submitted.""  Meanwhile, I have phoned AMAZ0N to lodge a formal complaint.

The product itself is average.  I've used better and worse.  That said, it's definitely not worth the full asking price"	0
